Year,United Kingdom,England and Wales,England,Wales,Scotland,Northern Ireland
2020,30.7,30.7,30.7,30.0,30.7,30.9
2019,30.7,30.7,30.7,29.9,30.7,30.9
2018,30.6,30.6,30.6,29.8,30.6,30.7
2017,30.5,30.5,30.5,29.8,30.5,30.7
2016,30.4,30.4,30.5,29.7,30.4,30.5
2015,30.3,30.3,30.3,29.6,30.3,30.5
2014,30.2,30.2,30.2,29.5,30.2,30.3
2013,30.0,30.0,30.0,29.3,30.0,30.2
2012,29.8,29.8,29.8,29.1,29.8,30.1
2011,29.7,29.7,29.7,29.0,29.7,30.0
2010,29.5,29.5,29.6,28.8,29.6,29.9
2009,29.4,29.4,29.4,28.6,29.4,29.8
2008,29.3,29.3,29.4,28.6,29.3,29.7
2007,29.3,29.3,29.3,28.6,29.2,29.7
2006,29.2,29.2,29.2,28.5,29.1,29.6
2005,29.1,29.1,29.1,28.3,29.1,29.5
2004,29.0,29.0,29.0,28.2,28.9,29.5
2003,28.9,28.8,28.9,28.1,28.8,29.3
2002,28.7,28.7,28.7,28.0,28.6,29.2
2001,28.6,28.6,28.6,27.8,28.5,29.1
2000,28.5,28.5,28.5,27.8,28.4,29.0
1999,28.4,28.4,28.4,27.6,28.3,28.8
1998,28.3,28.3,28.4,27.5,28.2,28.9
1997,28.3,28.3,28.3,27.5,28.1,28.9
1996,28.2,28.2,28.2,27.4,28.1,28.8
1995,28.2,28.2,28.2,27.5,28.0,28.8
1994,28.1,28.1,28.2,27.4,27.9,28.7
1993,27.9,27.9,28.0,27.3,27.7,28.5
1992,27.8,27.9,27.9,27.2,27.6,28.1
1991,27.7,27.7,27.7,27.1,27.5,28.3
